Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method
0.58,0.23123756158584186,0.08567050593767173,0.6222222222222222,0.2545454545454545,3.6202020202020204,0.2873415946960449,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,44,MonoRF
0.59,0.25395193869499105,0.1491472848039121,0.5777777777777777,0.2727272727272727,3.434343434343434,0.04845261573791504,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,44,XGB-Mono
0.59,0.24821383786537068,0.13123763054708926,0.5777777777777777,0.2727272727272727,3.434343434343434,0.013181924819946289,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,44,LGBM-Mono
0.55,0.23766586405459095,0.11400445353582833,0.6888888888888889,0.2545454545454545,3.9535353535353535,0.009681224822998047,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,44,MonoScore
0.59,0.24678289060237257,0.13281282166019084,0.5777777777777777,0.2727272727272727,3.434343434343434,0.08677959442138672,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,44,XGB-Mono-Best
0.61,0.2475120415860786,0.13748808789286462,0.5111111111111111,0.2909090909090909,3.1373737373737374,0.03910040855407715,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,44,LGBM-Mono-Best
0.67,0.22063011888562298,0.058342741469057234,0.6,0.10909090909090909,3.2181818181818183,0.0006098747253417969,382,0.191,0.04707326007326006,0.24645685902230396,0.282051282051282,NA,,,,,compas_real,45,CART
0.62,0.38,0.38,0.6222222222222222,0.18181818181818182,3.474747474747475,2.4221303462982178,379,0.1895,0.1895,1.0,1.0,OPTIMAL,128.0,128.0,0.0,1.9520384000000002,compas_real,45,ODT
0.65,0.35,0.35,0.4666666666666667,0.2545454545454545,2.8424242424242427,2.6665279865264893,0,0.0,0.0,0.0,0.0,OPTIMAL,135.0,135.0,0.0,2.0904491000000003,compas_real,45,EMDT
0.65,0.227537945818945,0.013945841392649785,0.4666666666666667,0.2545454545454545,2.8424242424242427,2.513911247253418,0,0.0,0.0,0.0,0.0,OPTIMAL,135.0,135.0,0.0,1.9511100000000001,compas_real,45,EMDT-Iso
0.72,0.2170761699387065,0.14142570964846804,0.4666666666666667,0.12727272727272726,2.587878787878788,0.28079843521118164,0,0.0,2.7755575615628914e-20,0.0,0.0,NA,,,,,compas_real,45,MonoRF
0.68,0.20903845068333196,0.09646285571157934,0.4,0.2545454545454545,2.509090909090909,0.04524850845336914,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,45,XGB-Mono
0.68,0.20835279689336128,0.09841021183933069,0.37777777777777777,0.2727272727272727,2.4343434343434343,0.008888483047485352,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,45,LGBM-Mono
0.72,0.20848449102819583,0.1178240507830479,0.4888888888888889,0.10909090909090909,2.6626262626262625,0.008991241455078125,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,45,MonoScore
0.65,0.20841455652168672,0.12062853470444679,0.35555555555555557,0.34545454545454546,2.468686868686869,0.08559632301330566,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,45,XGB-Mono-Best
0.65,0.20715822413925566,0.10690509397245812,0.35555555555555557,0.34545454545454546,2.468686868686869,0.020737886428833008,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,45,LGBM-Mono-Best
0.66,0.21640379915881525,0.073618430846517,0.6,0.12727272727272726,3.2545454545454544,0.0007190704345703125,14,0.007,0.001364705882352942,0.19495798319327745,0.1949579831932774,NA,,,,,compas_real,46,CART
0.64,0.36,0.36,0.6,0.16363636363636364,3.327272727272727,2.415186882019043,16,0.008,0.008,1.0,1.0,OPTIMAL,128.0,128.0,0.0,1.8696910000000002,compas_real,46,ODT
0.65,0.35,0.3500000000000001,0.5111111111111111,0.21818181818181817,2.991919191919192,1.9884226322174072,0,0.0,0.0,0.0,0.0,OPTIMAL,131.0,131.0,0.0,1.5036497000000002,compas_real,46,EMDT
0.65,0.22858189233275136,0.024111792410912672,0.5111111111111111,0.21818181818181817,2.991919191919192,1.711380958557129,0,0.0,0.0,0.0,0.0,OPTIMAL,131.0,131.0,0.0,1.401829,compas_real,46,EMDT-Iso
0.68,0.21592906247138305,0.1502209647547651,0.5333333333333333,0.14545454545454545,2.9575757575757575,0.21107888221740723,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,46,MonoRF
0.66,0.2068784060648552,0.12196103904396295,0.5111111111111111,0.2,2.9555555555555553,0.03559470176696777,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,46,XGB-Mono
0.68,0.20088631327786458,0.08551490188946767,0.4,0.2545454545454545,2.509090909090909,0.010688304901123047,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,46,LGBM-Mono
0.7,0.21872475220841425,0.12143484622060444,0.5111111111111111,0.12727272727272726,2.8101010101010098,0.008783340454101562,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,46,MonoScore
0.66,0.2093358660953348,0.10517621222883462,0.5111111111111111,0.2,2.9555555555555553,0.06714534759521484,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,46,XGB-Mono-Best
0.67,0.2035011881854037,0.13554239999606085,0.4222222222222222,0.2545454545454545,2.6202020202020204,0.025127172470092773,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,46,LGBM-Mono-Best
0.71,0.20571404737087476,0.07757384433613942,0.4444444444444444,0.16363636363636364,2.5494949494949495,0.0006449222564697266,212,0.106,0.050149125275571756,0.4731049554299223,0.8888888888888888,NA,,,,,compas_real,47,CART
0.61,0.39,0.39,0.4444444444444444,0.34545454545454546,2.9131313131313132,1.6610963344573975,26,0.013,0.013,1.0,1.0,OPTIMAL,131.0,131.0,0.0,1.3697835,compas_real,47,ODT
0.69,0.31,0.31,0.5111111111111111,0.14545454545454545,2.8464646464646464,1.6585853099822998,0,0.0,0.0,0.0,0.0,OPTIMAL,135.0,135.0,0.0,1.3656029,compas_real,47,EMDT
